what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341149636772
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341149636790
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341149636816
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341149636882
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341149636890
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341149636950
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341149636995
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1341149637076
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1341149637117
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1341149637289
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1341149637289
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1341149637305
os,sysinfo,,,"win32",1341149637317
arch,sysinfo,,,"x86_64",1341149637317
ws,sysinfo,,,"win32",1341149637317
locale,sysinfo,,,"zh_CN",1341149637317
processors,sysinfo,,,"2",1341149637317
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341149637317
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1341149637317
java.specification.name,sysinfo,,,"Java Platform API Specification",1341149637317
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341149637317
java.specification.version,sysinfo,,,"1.6",1341149637317
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341149637317
java.version,sysinfo,,,"1.6.0_13",1341149637317
java.vm.info,sysinfo,,,"mixed mode",1341149637317
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341149637317
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341149637317
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341149637317
java.vm.specification.version,sysinfo,,,"1.0",1341149637317
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341149637317
java.vm.version,sysinfo,,,"11.3-b02",1341149637318
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1341149640001
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1341149640063
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1341149640579
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1341149640791
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1341149641340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341149674946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341150676240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341150677848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341150677924
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1341150678009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341150679867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341150681335
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341150681661
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341150683594
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341150683655
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1341150685138
